Company: 100 Al Sultan Industrial Cement,,,,,,,,,,,,,,,,,,
Production orders,,,,,,,,,,,,,,,,,,
Parent project,Production orders,Description,Item code,Item description,Planning,Actual,Unit,Selection code,Warehouse,Cost center,Person,Status,Start date,End date,Attachment,Note,Overdue,Position number
,PR0600066801,Kerbstone,K10CH60-004,Kerbstone 60x30x15 10ch,"1,160.00000000","1,160.00000000",Nos,,1,,User -  SHAHID SHAHID,Completed,1/9/2024,1/9/2024,No,No,0,
,,Standard,,,"76,986.88000000","76,986.88000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"16,100.80000000","16,100.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"11,277.52000000","11,277.52000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"29,000.00000000","29,000.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"3,213.20000000","3,213.20000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AGDS01,Sand,"8,055.04000000","8,055.04000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"9,280.00000000","9,280.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP300X600,FP300X600,30.16000000,30.16000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP315X600,FP315X600,30.16000000,30.16000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066802,Kerbstone,KFH91-003,Kerbstone 91.5x25x10 Flush,830.00000000,830.00000000,Nos,,1,,User -  SHAHID SHAHID,Completed,1/9/2024,1/9/2024,No,No,0,
,,Standard,,,"66,438.18000000","66,438.18000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"13,827.80000000","13,827.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"9,677.80000000","9,677.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"24,900.00000000","24,900.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"2,763.90000000","2,763.90000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AGDS01,Sand,"6,913.90000000","6,913.90000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"8,300.00000000","8,300.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP260X915,FP260X915,27.39000000,27.39000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP315X915,FP315X915,27.39000000,27.39000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066803,Kerbstone,K10BN60-003,Kerbstone 60x30x10 B/N,"1,260.00000000","1,260.00000000",Nos,,1,,User -  SHAHID SHAHID,Completed,1/9/2024,1/9/2024,No,No,0,
,,Standard,,,"115,670.52000000","115,670.52000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"24,229.80000000","24,229.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"16,959.60000000","16,959.60000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"43,608.60000000","43,608.60000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"4,838.40000000","4,838.40000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AGDS01,Sand,"12,108.60000000","12,108.60000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"13,860.00000000","13,860.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP300X600,FP300X600,32.76000000,32.76000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP310X600,FP310X600,32.76000000,32.76000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066804,Kerbstone,K15CH60-007,Kerbstone 60x35x15 10ch,"1,170.00000000","1,170.00000000",Nos,,1,,User -  SHAHID SHAHID,Completed,1/9/2024,1/9/2024,No,No,0,
,,Standard,,,"96,473.52000000","96,473.52000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"20,170.80000000","20,170.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"14,110.20000000","14,110.20000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"36,309.78000000","36,309.78000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"4,024.80000000","4,024.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AGDS01,Sand,"10,085.40000000","10,085.40000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"11,700.00000000","11,700.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP350X600,FP350X600,36.27000000,36.27000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP365X600,FP365X600,36.27000000,36.27000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066805,Kerbstone,KFH60-004,Kerbstone 60x30x15 Flush,"1,260.00000000","1,260.00000000",Nos,,1,,User -  SHAHID SHAHID,Completed,1/9/2024,1/9/2024,No,No,0,
,,Standard,,,"83,616.12000000","83,616.12000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"17,488.80000000","17,488.80000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"12,247.20000000","12,247.20000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"31,500.00000000","31,500.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"3,490.20000000","3,490.20000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,AGDS01,Sand,"8,744.40000000","8,744.40000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"10,080.00000000","10,080.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP300X600,FP300X600,32.76000000,32.76000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,FP310X600,FP310X600,32.76000000,32.76000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/9/2024,1/9/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066933,Kerbstone,K10CH60-004,Kerbstone 60x30x15 10ch,"1,155.00000000","1,155.00000000",Nos,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"76,655.04000000","76,655.04000000",,,,,,,,,,,,
,,,AG0-3,Aggregate 0-3,"16,031.40000000","16,031.40000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/16,Aggregate 3/16,"11,228.91000000","11,228.91000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/4,Aggregate 3/4,"28,875.00000000","28,875.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AG3/8,Aggregate 3/8,"3,199.35000000","3,199.35000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,AGDS01,Sand,"8,020.32000000","8,020.32000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,CEM03,O.P.C (Bulk) CEMENT,"9,240.00000000","9,240.00000000",kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP300X600,FP300X600,30.03000000,30.03000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,FP315X600,FP315X600,30.03000000,30.03000000,kg,,1,001CC001,User -  SHAHID SHAHID,,1/2/2024,1/2/2024,No,No,,0
,,,,,,,,,,,,,,,,,,
,PR0600066934,Kerbstone,KFH91-003,Kerbstone 91.5x25x10 Flush,815.00000000,815.00000000,Nos,,1,,User -  SHAHID SHAHID,Completed,1/2/2024,1/2/2024,No,No,0,
,,Standard,,,"65,237.49000000","65,237.49000000",,,,,,,,,,,,
