Start date,Description,Item description,Planning,Actual,Unit
1/9/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,160.00000000","1,160.00000000",Nos
1/9/2024,Kerbstone,Kerbstone 91.5x25x10 Flush,830.00000000,830.00000000,Nos
1/9/2024,Kerbstone,Kerbstone 60x30x10 B/N,"1,260.00000000","1,260.00000000",Nos
1/9/2024,Kerbstone,Kerbstone 60x35x15 10ch,"1,170.00000000","1,170.00000000",Nos
1/9/2024,Kerbstone,Kerbstone 60x30x15 Flush,"1,260.00000000","1,260.00000000",Nos
1/2/2024,Kerbstone,Kerbstone 60x30x15 10ch,"1,155.00000000","1,155.00000000",Nos
1/2/2024,Kerbstone,Kerbstone 91.5x25x10 Flush,815.00000000,815.00000000,Nos
1/2/2024,Kerbstone,Kerbstone 60x30x10 B/N,"1,250.00000000","1,250.00000000",Nos
1/2/2024,Kerbstone,Kerbstone 60x35x15 15ch,"1,175.00000000","1,175.00000000",Nos
1/2/2024,Kerbstone,Kerbstone 60x30x15 Flush,"1,260.00000000","1,260.00000000",Nos
1/2/2024,Plant-01 Day Shift,Rectangle 60x30/6cm/Grey/Single Mix,"1,788.48000000","1,788.48000000",M2
1/2/2024,Plant-01 Night Shift,Rectangle 60x30/6cm/Grey/Single Mix,"1,973.16000000","1,973.16000000",M2
1/2/2024,Plant-02 Day Shift,Rectangle 20x10/8cm/Red,858.00000000,858.00000000,M2
1/2/2024,Plant-02 Day Shift,Uni Block/8cm/Red,571.39000000,571.39000000,M2
1/2/2024,Plant-02 Night Shift,Square 30x30/6cm/Tan,286.20000000,286.20000000,M2
1/2/2024,Plant-02 Night Shift,Rectangle 40x20/6cm/Red,324.00000000,324.00000000,M2
1/2/2024,Plant-02 Night Shift,Octagon/6cm/Red,519.12000000,519.12000000,M2
1/2/2024,Plant-02 Night Shift,Square 10x10/6cm/Brown,216.00000000,216.00000000,M2
1/2/2024,Plant-03 Day Shift,Rectangle 20x10/8cm/Dark Grey/Single Mix,"1,758.00000000","1,758.00000000",M2
1/2/2024,Plant-03 Night Shift,Rectangle 20x10/8cm/Black,"1,699.20000000","1,699.20000000",M2
